"","EXPID","REFID","RYEAR","RTYPE","RJRNL","RAUTHOR","RTITLE","RPUBLISHER","RPUBDATE","RLANGUAGE","RCITATION","RYAK94","RNOTES"
"1","KANG84101","01","1984",2,"AAJ","Matsuzawa, Tetsuro",NA,NA,"1985",NA,"59:247-249 (1985)",NA,"8"
"2","KANG84102","01","1984",2,"AAJ","Ball, Gary",NA,NA,"1985",NA,"59:249-250 (1985)",NA,NA
"3","KANG84301","01","1984",2,"AAJ","Marshall, Roger",NA,NA,"1985",NA,"59:250 (1985)",NA,NA
"4","KANG84401","01","1984",1,NA,"Bremer-Kamp, Cherie","Living on the Edge",NA,"1987",NA,NA,"B558",NA
"5","YALU84302","01","1984",2,"AAJ","Muller, Bernard",NA,NA,"1985",NA,"59:251 (1985)",NA,NA
"6","YALU84301","01","1984",2,"AAJ","Nyka, Jozef",NA,NA,"1985",NA,"59:251 (1985)",NA,NA
"7","KANB84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:252 (1985)",NA,NA
"8","JANU84301","01","1984",2,"AAJ","Fischer, Martin",NA,NA,"1985",NA,"59:252 (1985)",NA,NA
"9","JANU84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:252 (1985)",NA,NA
"10","MAKA84101","01","1984",2,"AAJ","Buhler, Carlos",NA,NA,"1985",NA,"59:252-254 (1985)",NA,NA
"11","MAKA84102","01","1984",2,"AAJ","Abrego, Mari",NA,NA,"1985",NA,"59:254-255 (1985)",NA,NA
"12","MAKA84302","01","1984",2,"AAJ","Nottaris, Romolo",NA,NA,"1985",NA,"59:255 (1985)",NA,NA
"13","MAKA84303","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:255 (1985)",NA,NA
"14","MAKA84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:255-256 (1985)",NA,NA
"15","BARU84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:256 (1985)",NA,NA
"16","BARU84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:256 (1985)",NA,NA
"17","MAKA84103","01","1984",2,"AAJ","Scott, Douglas","Makalu-Almost",NA,"1985",NA,"59:70-80 (1985)",NA,NA
"18","SHA284101","01","1984",2,"AAJ","Lee Yong-Ho",NA,NA,"1985",NA,"59:256-257 (1985)",NA,NA
"19","LSHR84102","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:257-259 (1985)",NA,NA
"20","LSHR84301","01","1984",2,"AAJ","Moores, Paul",NA,NA,"1985",NA,"59:259 (1985)",NA,NA
"21","EVER84102","01","1984",2,"AAJ","Khullar, D. K.",NA,NA,"1985",NA,"59:261 (1985)",NA,NA
"22","EVER84302","01","1984",2,"AAJ","Cheney, Michael J.",NA,NA,"1985",NA,"59:262-263 (1985)",NA,NA
"23","EVER84305","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:263 (1985)",NA,NA
"24","EVER84306","01","1984",2,"AAJ","Kele, Frantisek",NA,NA,"1985",NA,"59:263 (1985)",NA,NA
"25","EVER84304","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:265 (1985)",NA,NA
"26","EVER84402","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:224-225 (1986)",NA,NA
"27","EVER84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:265 (1985)",NA,NA
"28","NUPW84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:266 (1985)",NA,NA
"29","PUMO84101","01","1984",2,"AAJ","Andre, Michael",NA,NA,"1985",NA,"59:266-268 (1985)",NA,NA
"30","PUMO84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:268 (1985)",NA,NA
"31","PUMO84401","01","1984",2,"AAJ","Jorgenson, Steven G.",NA,NA,"1985",NA,"59:268 (1985)",NA,NA
"32","LOBE84101","01","1984",2,"AAJ","Nielson, Lawrence",NA,NA,"1985",NA,"59:269 (1985)",NA,NA
"33","LOBW84301","01","1984",2,"AAJ","Ohnishi, Tamotsu",NA,NA,"1985",NA,"59:269 (1985)",NA,NA
"34","CHOL84301","01","1984",2,"AAJ","Bibler, Todd",NA,NA,"1985",NA,"59:270 (1985)",NA,"10"
"35","TAWO84101","01","1984",2,"AAJ","Bridwell, James",NA,NA,"1985",NA,"59:270 (1985)",NA,NA
"36","AMAD84102","01","1984",2,"AAJ","Eisenhard, James",NA,NA,"1985",NA,"59:270-273 (1985)",NA,NA
"37","AMAD84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:273 (1985)",NA,NA
"38","AMAD84103","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:273 (1985)",NA,NA
"39","AMAD84401","01","1984",2,"AAJ","Hawley, Elizabeth",NA,NA,"1985",NA,"59:273 (1985)",NA,NA
"40","AMAD84402","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:273 (1985)",NA,NA
"41","KTEG84101","01","1984",2,"AAJ","Magdalena, Maria Carmen",NA,NA,"1985",NA,"59:274 (1985)",NA,NA
"42","THAM84301","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:275 (1985)",NA,NA
"43","CHOY84102","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:274 (1985)",NA,NA
"44","CHOY84301","01","1984",2,"AAJ","Pons, Jordi",NA,NA,"1985",NA,"59:275 (1985)",NA,NA
"45","CHOY84302","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:275 (1985)",NA,NA
"46","CHOY84401","01","1984",2,"AAJ","Nyka, Jozef",NA,NA,"1985",NA,"59:275 (1985)",NA,NA
"47","CHOB84301","01","1984",2,"AAJ","Badham, Michael K.",NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"48","GAUR84301","01","1984",2,"AAJ",NA,NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"49","KHAT84401","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:277 (1985)",NA,NA
"50","LANG84101","01","1984",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1985",NA,"59:277-278 (1985)",NA,NA
"51","GAN384302","01","1984",2,"AAJ","Kekus, Nikola",NA,NA,"1985",NA,"59:278 (1985)",NA,NA
